,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
gevent,2.62175,0.037187587534910846,2.642,4.0,0.2225,0.019433647796197884,0.248,2.3155,0.039585350825778916,2.358
gffutils,3.5252499999999998,0.15530266149254052,3.687,4.0,0.34950000000000003,0.04902040391510456,0.395,3.0145,0.20409229938110518,3.214
ggplot,14.772,,14.772,1.0,1.114,,1.114,13.385,,13.385
ghp-import,1.8685,0.06377303505401011,1.943,4.0,0.18974999999999997,0.020287516687197905,0.218,1.62675,0.06301520980419471,1.693
giddy,24.719,,24.719,1.0,2.225,,2.225,21.836,,21.836
git-changelog,1.2409999999999999,,1.2409999999999999,1.0,0.076,,0.076,1.091,,1.091
gitdb,1.0030000000000001,0.023352373184182654,1.026,4.0,0.11699999999999999,0.024913182588073058,0.153,0.845,0.04533578424747202,0.888
gitdb2,1.0655,0.009678154093971927,1.0759999999999998,4.0,0.0965,0.017368553960150704,0.122,0.91425,0.013889444433333812,0.927
gitpython,1.353,0.04048044795536072,1.402,4.0,0.09875,0.015755951256588734,0.115,1.15875,0.04114506855829347,1.206
glob2,1.58125,0.07285773809280652,1.651,4.0,0.18924999999999997,0.011757976016304855,0.20600000000000002,1.37575,0.07139269337030693,1.453
glob3,0.72,,0.72,1.0,0.077,,0.077,0.616,,0.616
gmaps,12.783,,12.783,1.0,1.001,,1.001,10.984000000000002,,10.984000000000002
gmplot,1.8522500000000002,0.050268446033935224,1.9069999999999998,4.0,0.18325000000000002,0.010688779163215973,0.196,1.56,0.04699645376692455,1.624
google,1.153,0.050774009099144354,1.206,4.0,0.10125,0.020022903552348915,0.12,0.9924999999999999,0.06356361642742914,1.055
google-api-core,4.096,0.1284860563122187,4.215,4.0,0.29475,0.023796008068581592,0.319,3.5325,0.12532757078951148,3.655
google-api-python-client,4.86375,0.25530031335664305,5.117,4.0,0.37325,0.026158172719056655,0.397,4.1775,0.26211511466020687,4.415
google-auth,1.83825,0.10884047960203046,1.949,4.0,0.16300000000000003,0.03571180943796231,0.20600000000000002,1.5735000000000001,0.09137651047543165,1.6540000000000001
google-auth-httplib2,2.152,0.10337955955281153,2.247,4.0,0.16125,0.03272486312678278,0.201,1.8535,0.11329460122471265,1.9869999999999999
google-auth-oauthlib,2.9952500000000004,0.10489796629741355,3.108,4.0,0.23775000000000002,0.024689741459426706,0.271,2.5484999999999998,0.07396170180122477,2.627
google-cloud-bigquery,6.483750000000001,0.10740383295457108,6.587000000000001,4.0,0.38725,0.041031491970599014,0.431,5.71,0.06715653356152328,5.774
google-cloud-core,4.0675,0.049426713425029335,4.129,4.0,0.25949999999999995,0.03171224789677746,0.303,3.54625,0.06115213269652426,3.627
google-cloud-storage,5.0745,0.35365755564764445,5.535,4.0,0.3735,0.03506660329525329,0.41100000000000003,4.345000000000001,0.3963651515122555,4.85
google-pasta,0.9864999999999999,0.024637369989509782,1.011,4.0,0.11325,0.005377421934967221,0.12,0.8280000000000001,0.017530925056406278,0.847
google-resumable-media,1.828,0.11303981599418865,1.921,4.0,0.16325,0.020434855843223684,0.18100000000000002,1.56575,0.10338399295829119,1.6640000000000001
googleapis-common-protos,1.7155,0.09345408854976148,1.84,4.0,0.13775,0.018391574157749533,0.163,1.4895,0.057859024072884895,1.56
googledrivedownloader,0.911,0.022788886180183016,0.9390000000000001,4.0,0.10250000000000001,0.024365275838099318,0.125,0.762,0.025429641497014207,0.795
googlemaps,6.501000000000001,0.0929085571946957,6.575,4.0,0.8415,0.034141860913937665,0.873,5.4232499999999995,0.08455126649948386,5.517
googletrans,4.003,,4.003,1.0,0.408,,0.408,3.387,,3.387
gpflow,35.937,,35.937,1.0,3.957,,3.957,30.743000000000002,,30.743000000000002
gprofiler-official,1.9469999999999998,,1.9469999999999998,1.0,0.135,,0.135,1.6340000000000001,,1.6340000000000001
gpxpy,1.7990000000000002,,1.7990000000000002,1.0,0.161,,0.161,1.6030000000000002,,1.6030000000000002
gpy,11.295000000000002,0.3044766000861158,11.557,4.0,3.71425,0.07376256955032584,3.8169999999999997,11.64675,0.2502283956708356,11.92
gpyopt,11.616999999999999,0.13654059225495366,11.769,4.0,3.8812500000000005,0.09185269003500496,3.9560000000000004,12.03225,0.15859460898782152,12.238
gql,3.3872500000000003,0.06970114776673351,3.47,4.0,0.3005,0.026236107434856493,0.33899999999999997,2.92525,0.052929985200577116,2.988
graphql-core,1.144,0.02705549851693736,1.173,4.0,0.1175,0.017935068069752817,0.14300000000000002,0.98925,0.025171081290507505,1.0270000000000001
graphviz,0.93425,0.05423636541411431,1.008,4.0,0.08775,0.017708284313657643,0.11,0.81525,0.056168644871197194,0.892
greenlet,1.0545,0.05018299844900991,1.1179999999999999,4.0,0.0985,0.011846237095944574,0.113,0.9102499999999999,0.042200908363051425,0.953
grid2op,18.475,0.2835007348608941,18.655,4.0,1.8355000000000001,0.09605033402683551,1.9780000000000002,16.17975,0.29178459520680716,16.398
grpcio,2.1639999999999997,0.0836500647539098,2.276,4.0,0.14350000000000002,0.023727621035409357,0.17600000000000002,1.9482500000000003,0.04927727671046769,2.002
gspread,3.044,0.12693042713759903,3.16,4.0,0.25575000000000003,0.039322385482063515,0.305,2.55975,0.13271617585408857,2.6919999999999997
gspread_dataframe,8.92,,8.92,1.0,0.568,,0.568,7.774,,7.774
gudhi,4.691,,4.691,1.0,0.49200000000000005,,0.49200000000000005,3.8,,3.8
gunicorn,1.0145000000000002,0.0113578166916005,1.03,4.0,0.10225,0.014150971698084902,0.11599999999999999,0.87925,0.019397164741270803,0.9
gwcs,16.764,,16.764,1.0,1.504,,1.504,14.870999999999999,,14.870999999999999
gym,8.49175,0.23208242070436916,8.815,4.0,0.7565,0.07859389289251427,0.812,7.52475,0.1015623782050553,7.622999999999999
h11,0.9279999999999999,,0.9279999999999999,1.0,0.11599999999999999,,0.11599999999999999,0.782,,0.782
h2o,9.953,,9.953,1.0,1.655,,1.655,7.035,,7.035
h5py,3.53325,0.06663019835880223,3.614,4.0,0.35450000000000004,0.023072349974229633,0.37200000000000005,3.1045,0.05054700782440058,3.17
halo,2.8710000000000004,,2.8710000000000004,1.0,0.306,,0.306,2.3819999999999997,,2.3819999999999997
hdbscan,10.407,,10.407,1.0,3.917,,3.917,10.835999999999999,,10.835999999999999
healpy,11.93275,0.1274084638737434,12.097000000000001,4.0,0.9364999999999999,0.08311237372778302,1.043,10.44625,0.21342660721350298,10.745
heapdict,0.9217500000000001,0.046636001829773836,0.975,4.0,0.10074999999999999,0.018264263832230777,0.11699999999999999,0.7802499999999999,0.024349880218733407,0.8109999999999999
hepstats,15.989,,15.989,1.0,1.271,,1.271,14.169,,14.169
hepunits,0.94,,0.94,1.0,0.099,,0.099,0.8140000000000001,,0.8140000000000001
hist,4.497,,4.497,1.0,0.35100000000000003,,0.35100000000000003,3.946,,3.946
holidays,3.42525,0.07639971640436011,3.532,4.0,0.3735,0.023302360395462105,0.40700000000000003,2.874,0.03478505426185242,2.926
holoviews,15.974750000000002,0.3803589313617687,16.398,4.0,1.43525,0.08306373055271067,1.5519999999999998,14.05725,0.19970040060049937,14.255
holoviz,43.723,,43.723,1.0,3.365,,3.365,36.794000000000004,,36.794000000000004
hopcroftkarp,1.5619999999999998,,1.5619999999999998,1.0,0.174,,0.174,1.368,,1.368
html5lib,1.1875,0.036864617182333616,1.225,4.0,0.11324999999999999,0.013425721582097552,0.127,0.9959999999999999,0.020493901531919146,1.025
htmlmin,1.61075,0.030137186331839264,1.652,4.0,0.19324999999999998,0.016090887690449723,0.205,1.4015,0.04527324449016964,1.463
httpimport,0.891,0.012355835328567103,0.9,4.0,0.10149999999999999,0.02666458325194677,0.136,0.74575,0.02134439817219813,0.767
httplib2,1.05725,0.03965160778581359,1.088,4.0,0.10999999999999999,0.014537308324904349,0.129,0.9,0.04297285965195556,0.9390000000000001
httpx,2.86,,2.86,1.0,0.22,,0.22,2.4530000000000003,,2.4530000000000003
humanize,0.9740000000000001,,0.9740000000000001,1.0,0.087,,0.087,0.852,,0.852
hvplot,15.963750000000001,0.14236660423006475,16.133,4.0,1.47525,0.04528704744920622,1.515,14.005999999999998,0.18827816301065453,14.26
hyperdash,2.801,,2.801,1.0,0.24600000000000002,,0.24600000000000002,2.408,,2.408
hyperlink,1.048,,1.048,1.0,0.1,,0.1,0.9,,0.9
hyperopt,8.756,0.02727636339397128,8.796,4.0,0.80775,0.12156308376038077,0.9890000000000001,7.811249999999999,0.11565573915720759,7.897
hyperspy,33.56425,1.0028663503511648,34.855,4.0,2.8600000000000003,0.06837640918718481,2.948,28.9575,0.673376813777645,29.81
hypertools,21.873,,21.873,1.0,1.7730000000000001,,1.7730000000000001,19.537,,19.537
hypothesis,2.36925,0.054199477242251395,2.42,4.0,0.139,0.0195106808355492,0.168,2.1510000000000002,0.07129749878735826,2.197
ibis-framework,8.283,,8.283,1.0,0.597,,0.597,7.499,,7.499
icepyx,34.3455,1.3175222958265278,36.161,4.0,2.8265000000000002,0.11308551336636079,2.952,29.73975,0.45865918719676807,30.324
ics,1.6159999999999999,,1.6159999999999999,1.0,0.129,,0.129,1.252,,1.252
idna,0.97175,0.04473905825264243,1.02,4.0,0.11925,0.027390691849604673,0.142,0.8220000000000001,0.06147086030524275,0.9
idna-ssl,1.774,,1.774,1.0,0.19899999999999998,,0.19899999999999998,1.547,,1.547
image,5.0287500000000005,0.12270391191808036,5.176,4.0,0.50875,0.02686230320231933,0.537,4.30525,0.1320993943967952,4.503
imagecodecs,4.24,,4.24,1.0,0.435,,0.435,3.508,,3.508
imagehash,7.19,0.29239813040897983,7.619,4.0,0.5522499999999999,0.05133793269438624,0.611,6.51075,0.3149914019990599,6.956
imageio,4.19775,0.051951098801340474,4.262,4.0,0.368,0.02136976056643281,0.392,3.7367500000000002,0.04698492666093353,3.7939999999999996
imageio-ffmpeg,1.8840000000000001,,1.8840000000000001,1.0,0.249,,0.249,1.575,,1.575
imagesize,0.88525,0.046435439052516805,0.925,4.0,0.0945,0.007000000000000004,0.10300000000000001,0.751,0.028612351645166605,0.775
imbalanced-learn,8.539250000000001,0.2587204089359785,8.9,4.0,0.7232500000000001,0.053393975939862975,0.769,7.6834999999999996,0.22331069537007533,8.003
imblearn,8.53575,0.1274973855941112,8.707,4.0,0.76675,0.06807532592650586,0.8640000000000001,7.6295,0.14889929482707448,7.852
imgaug,13.70275,0.3431300773759135,14.082,4.0,1.1560000000000001,0.044914734033870585,1.2109999999999999,12.14425,0.28939865814017407,12.453
imgkit,0.985,0.0576599225343451,1.0590000000000002,4.0,0.1135,0.010472185381603343,0.128,0.8175000000000001,0.05117616632769601,0.8690000000000001
iminuit,3.40325,0.12393916518464465,3.514,4.0,0.30000000000000004,0.028717010057919774,0.33399999999999996,3.0345,0.1004340579684003,3.148
imjoy,11.12575,0.37982660517662536,11.6,4.0,0.68175,0.0193627649540727,0.708,9.8015,0.25350147928562494,10.081
imjoy-jupyter-extension,12.959,0.3656145511327464,13.411,4.0,1.0145,0.06602272336097617,1.0859999999999999,10.98375,0.2894781223742723,11.33
imjoy-rpc,2.2325,0.08150460109711591,2.352,4.0,0.214,0.021244607158837574,0.245,1.91025,0.05934292993553082,1.9969999999999999
immutables,0.987,,0.987,1.0,0.109,,0.109,0.838,,0.838
import-ipynb,1.6237499999999998,0.03724133008723857,1.656,4.0,0.17875,0.02291105992019283,0.209,1.403,0.0339509450040299,1.44
import_ipynb,1.599,0.08127730310486435,1.7109999999999999,4.0,0.1835,0.023402279091290803,0.20600000000000002,1.3595,0.043821608064211044,1.405
importlib-metadata,1.2115,0.0635531273817426,1.268,4.0,0.11875,0.008655441448399194,0.127,1.02425,0.05355604541039229,1.091
importlib-resources,1.09975,0.028300471138598907,1.129,4.0,0.10275000000000001,0.019345542122153104,0.128,0.94975,0.026737925623852472,0.988
imutils,1.63375,0.07189517832696896,1.682,4.0,0.19349999999999998,0.031160872901765772,0.226,1.411,0.033655113529249325,1.4380000000000002
incremental,0.818,,0.818,1.0,0.079,,0.079,0.7090000000000001,,0.7090000000000001
inflect,0.9485000000000001,0.030956959368344507,0.9690000000000001,4.0,0.099,0.01416568624058385,0.113,0.8207500000000001,0.039016022349798805,0.85
inflection,0.847,0.06218788735222751,0.887,4.0,0.10025000000000002,0.019276496915501366,0.12300000000000001,0.717,0.044594469014292155,0.753
iniconfig,0.8792500000000001,0.0086554414483992,0.892,4.0,0.08625000000000001,0.014244882121894396,0.099,0.7622500000000001,0.023228933107943914,0.789
install,0.893,,0.893,1.0,0.10300000000000001,,0.10300000000000001,0.7609999999999999,,0.7609999999999999
int_date,1.179,,1.179,1.0,0.13,,0.13,0.927,,0.927
intake,2.773,,2.773,1.0,0.267,,0.267,2.313,,2.313
intake-xarray,11.652999999999999,,11.652999999999999,1.0,0.763,,0.763,10.104,,10.104
intel-openmp,1.055,0.15404328396049385,1.278,4.0,0.11925000000000001,0.01988927684289536,0.14300000000000002,0.8295,0.04986983055916673,0.8759999999999999
interact,1.6075,0.06605300901548694,1.703,4.0,0.17075,0.022998188334446407,0.204,1.364,0.021055482263138223,1.39
interactive,1.664,0.07947746011710904,1.7619999999999998,4.0,0.20325,0.045183883557451475,0.254,1.35425,0.031826351764955234,1.391
intermine,0.9615,0.04373785545725813,1.0190000000000001,4.0,0.11125,0.01367174702321055,0.124,0.78975,0.034160161982441865,0.8220000000000001
interpret-community,18.414,,18.414,1.0,6.857,,6.857,19.875999999999998,,19.875999999999998
interpret-text,74.82900000000002,,74.82900000000002,1.0,12.8,,12.8,64.03399999999999,,64.03399999999999
intervaltree,1.7005000000000001,0.07845805673521787,1.788,4.0,0.1835,0.02009145755455952,0.201,1.4837500000000001,0.06820740429015022,1.557
investpy,9.59775,0.2777869387378275,9.997,4.0,0.7722500000000001,0.04777987721485552,0.8170000000000001,8.50725,0.3487447729596331,8.979
invoke,1.128,,1.128,1.0,0.11599999999999999,,0.11599999999999999,0.9790000000000001,,0.9790000000000001
ipaddress,0.7959999999999999,,0.7959999999999999,1.0,0.113,,0.113,0.6509999999999999,,0.6509999999999999
ipdb,4.9590000000000005,0.15812020743725344,5.166,4.0,0.40725,0.0313833820144781,0.45,4.316,0.17910704434313376,4.566
ipy_table,1.70675,0.14717421649188422,1.9240000000000002,4.0,0.18075000000000002,0.014244882121894396,0.195,1.409,0.030055504210266367,1.443
ipyaggrid,17.32475,0.21059499044374386,17.617,4.0,1.24375,0.08752285415821405,1.3159999999999998,15.1785,0.1999691642895639,15.335999999999999
ipycanvas,14.7915,0.25724890670321615,15.071,4.0,1.0947500000000001,0.09234852462275725,1.229,12.82825,0.2502909973078005,13.032
ipydatawidgets,14.059750000000001,0.1133795249005168,14.194,4.0,1.061,0.08669871202426627,1.1179999999999999,12.121500000000001,0.1465844466510688,12.331
ipyfilechooser,11.937249999999999,0.16911608439175735,12.138,4.0,0.9405,0.06595705673643526,1.0090000000000001,10.19425,0.10654068080628455,10.289000000000001
ipykernel,5.2775,0.11432847414358359,5.415,4.0,0.373,0.03641428291206628,0.42100000000000004,4.59225,0.10915547016373768,4.754
ipyleaflet,12.25475,0.2023155538591468,12.478,4.0,0.9022500000000001,0.032417844880045184,0.93,10.5245,0.2608198612069259,10.799000000000001
ipymol,9.568,,9.568,1.0,0.622,,0.622,8.2,,8.2
ipympl,16.86425,0.40040094488733,17.271,4.0,1.2774999999999999,0.038905869308713134,1.311,14.61975,0.4166224309851786,14.963
ipynb,1.025,,1.025,1.0,0.098,,0.098,0.7759999999999999,,0.7759999999999999
ipynb-py-convert,1.63,,1.63,1.0,0.193,,0.193,1.396,,1.396
ipyparallel,5.781000000000001,,5.781000000000001,1.0,0.435,,0.435,4.965,,4.965
ipyparams,1.5695,0.04165333119931714,1.62,4.0,0.17975000000000002,0.020597329924045976,0.20800000000000002,1.34175,0.05419332677246022,1.4169999999999998
ipypb,0.9,,0.9,1.0,0.08900000000000001,,0.08900000000000001,0.76,,0.76
ipypm,23.105,,23.105,1.0,1.8330000000000002,,1.8330000000000002,20.169,,20.169
ipyprogressbar,0.856,,0.856,1.0,0.094,,0.094,0.672,,0.672
ipypublish,13.27,,13.27,1.0,1.077,,1.077,11.433,,11.433
ipysheet,12.046,0.36928850510136263,12.52,4.0,0.9062500000000001,0.08414818278885561,1.021,10.2715,0.38852927817604727,10.832
ipython,3.93275,0.07328653809989019,3.975,4.0,0.32675,0.033954626587059805,0.37200000000000005,3.387,0.11564024674250166,3.465
ipython-genutils,0.86175,0.012365947867699708,0.879,4.0,0.09625,0.018006943105369103,0.11599999999999999,0.73475,0.02366960075708928,0.755
ipython-sql,6.554,0.13447924251224275,6.684,4.0,0.47650000000000003,0.04620606020859169,0.536,5.755,0.10631086491981893,5.85
ipython_blocking,12.435,,12.435,1.0,0.894,,0.894,10.806,,10.806
ipython_genutils,0.87825,0.029341381471680323,0.909,4.0,0.08750000000000001,0.007937253933193774,0.098,0.76375,0.020022903552348852,0.7809999999999999
ipythonblocks,12.290750000000001,0.23603724988512564,12.628,4.0,0.8610000000000001,0.046868610675660824,0.905,10.53125,0.27978369621310484,10.937000000000001
ipyturtle,11.7685,0.16074513989542552,11.932,4.0,0.855,0.04277849927241487,0.893,10.09075,0.11271904600968452,10.253
ipyvolume,16.59525,0.40230616450658624,17.128,4.0,1.2035,0.11423513761827693,1.371,14.21025,0.23888822351328437,14.550999999999998
ipyvuetify,12.535,0.08782178924769601,12.628,4.0,0.9810000000000001,0.02029778313018443,1.002,10.7195,0.145443001435843,10.919
ipywebrtc,0.8877499999999999,0.046421079981692176,0.94,4.0,0.10650000000000001,0.0091104335791443,0.11599999999999999,0.732,0.029922121136933662,0.77
ipywidgets,11.6105,0.25570099726047407,11.959000000000001,4.0,0.8505,0.02305789814069501,0.877,9.990749999999998,0.24454907482957208,10.311
islpy,3.0869999999999997,0.21766181719967959,3.306,4.0,0.2125,0.03222318006239194,0.243,2.447,0.1300897126345253,2.616
isodate,0.9692500000000001,0.04540466202201418,1.01,4.0,0.0915,0.00802080627701065,0.10300000000000001,0.829,0.043274318789169514,0.877
isort,1.09775,0.05432234040122591,1.146,4.0,0.11399999999999999,0.015769168230019823,0.13699999999999998,0.9492499999999999,0.05494466913783961,0.995
isoweek,0.8909999999999999,,0.8909999999999999,1.0,0.078,,0.078,0.782,,0.782
itkwidgets,30.566999999999997,0.8498454761504202,31.421,4.0,2.9392500000000004,0.12937896531765378,3.116,25.671999999999997,0.34033023178475746,25.97
itsdangerous,0.8955,0.03580037243754135,0.9390000000000001,4.0,0.09825,0.015671098663888678,0.11900000000000001,0.767,0.03443835071544514,0.805
jax,4.7625,0.15886367321281075,4.948,4.0,0.52075,0.06114668156708642,0.595,4.16525,0.15153079994949312,4.375
jaxlib,7.97125,0.09223656180351328,8.07,4.0,0.806,0.06538603316713237,0.8740000000000001,7.0405,0.12701837137464275,7.216
jdcal,0.88525,0.03305929017185132,0.9159999999999999,4.0,0.09075,0.013985111130532118,0.1,0.7665,0.04308518693627002,0.818
jedi,1.5535,0.07871679194005125,1.6280000000000001,4.0,0.177,0.025179356624028346,0.212,1.31975,0.06265979572261625,1.379
jeepney,0.894,,0.894,1.0,0.139,,0.139,0.727,,0.727
jellyfish,1.0070000000000001,,1.0070000000000001,1.0,0.10400000000000001,,0.10400000000000001,0.807,,0.807
jieba,3.56075,0.1587290668613239,3.763,4.0,0.5697500000000001,0.031425838625776255,0.607,2.9715000000000003,0.1425423913554608,3.16
jinja2,1.1865,0.030027764929589282,1.228,4.0,0.10925,0.019619293225462194,0.13,1.02225,0.0385605584330242,1.078
jinja2-cli,1.23,,1.23,1.0,0.107,,0.107,1.057,,1.057
jinja2-time,1.72,,1.72,1.0,0.145,,0.145,1.435,,1.435
jmespath,0.9115,0.03414186091393769,0.943,4.0,0.10549999999999998,0.016822603841260726,0.121,0.7755,0.014525839046333986,0.7879999999999999
joblib,1.1604999999999999,0.037188707963574166,1.198,4.0,0.126,0.018991226044325488,0.15,0.9962500000000001,0.04718315377335435,1.046
jovian,3.2539999999999996,,3.2539999999999996,1.0,0.33799999999999997,,0.33799999999999997,2.639,,2.639
jplephem,3.851,0.04031542302064237,3.892,4.0,0.39775,0.005678908345800268,0.40399999999999997,3.40625,0.035198248062462814,3.452
jsmin,2.24,,2.24,1.0,0.198,,0.198,2.0069999999999997,,2.0069999999999997
json,0.826,,0.826,1.0,0.08,,0.08,0.7190000000000001,,0.7190000000000001
json2html,1.604,,1.604,1.0,0.16399999999999998,,0.16399999999999998,1.423,,1.423
json5,0.88425,0.07893193270153724,0.943,4.0,0.09725,0.016780444968275826,0.111,0.76025,0.09016789894413638,0.818
jsonlines,0.8867499999999999,0.054634390878517736,0.9440000000000001,4.0,0.09475,0.009429563439877097,0.10800000000000001,0.7610000000000001,0.05618422079789548,0.825
jsonpath_ng,1.2229999999999999,,1.2229999999999999,1.0,0.149,,0.149,0.9940000000000001,,0.9940000000000001
jsonpickle,1.42,,1.42,1.0,0.107,,0.107,1.224,,1.224
jsonschema,2.5484999999999998,0.0646658075544307,2.634,4.0,0.24025,0.02389386253134193,0.27399999999999997,2.20525,0.0707312990596571,2.311
julia,0.929,,0.929,1.0,0.10800000000000001,,0.10800000000000001,0.774,,0.774
julian,1.861,,1.861,1.0,0.20199999999999999,,0.20199999999999999,1.403,,1.403
jupyter,12.477749999999999,0.3910382547356035,12.819,4.0,0.897,0.06936377536822329,0.97,10.73,0.2954397851790896,10.993
jupyter-book,24.6605,0.727855525957361,25.634,4.0,1.5705,0.1572566903717188,1.7819999999999998,20.91225,0.5123354207287752,21.586
jupyter-cache,13.484250000000001,0.5207157733991417,14.079,4.0,0.91275,0.052391952308218755,0.972,11.3145,0.4676868610512808,11.975
jupyter-cjk-xelatex,13.243,0.35588855933658137,13.687000000000001,4.0,0.93725,0.07484372607863218,1.033,11.45575,0.36531025626627744,11.985
jupyter-client,2.621,0.0392937654087772,2.657,4.0,0.201,0.027543904346818148,0.23800000000000002,2.2352499999999997,0.08815658417460008,2.303
jupyter-console,5.62425,0.231007034524925,5.891,4.0,0.36474999999999996,0.04484324549658139,0.424,4.8915,0.16030075899175686,5.011
jupyter-contrib-core,11.518749999999999,0.2223981040087038,11.745,4.0,0.82325,0.03340034929957068,0.852,9.91875,0.23319144495456862,10.193
jupyter-contrib-nbextensions,14.8755,0.47381958591852263,15.427,4.0,1.163,0.019916492328386128,1.19,12.80225,0.43638390972475904,13.432
jupyter-core,1.31925,0.06402798867162189,1.37,4.0,0.1225,0.019706175005143264,0.141,1.106,0.08182501654954509,1.182
jupyter-dash,21.011000000000003,0.39215898136682553,21.316999999999997,4.0,2.31625,0.07551765797922141,2.403,18.00425,0.358736091484161,18.313
jupyter-highlight-selected-word,0.9132499999999999,0.08559741039696622,1.031,4.0,0.09000000000000001,0.032197308376115334,0.126,0.75425,0.05774873735993425,0.825
jupyter-latex-envs,12.20125,0.2369196417916144,12.501,4.0,0.92425,0.04659309677051605,0.9640000000000001,10.5095,0.19470404892211843,10.793
jupyter-nbextensions-configurator,12.542000000000002,0.09268944564152615,12.637,4.0,0.9777500000000001,0.022618208004466928,1.003,10.74225,0.04243720851642601,10.773
jupyter-offlinenotebook,0.9484999999999999,0.05514526271584889,1.005,4.0,0.11725,0.022808989455914086,0.15,0.7765,0.03390673482756288,0.8079999999999999
jupyter-panel-proxy,21.59025,0.3596974423039456,21.930999999999997,4.0,1.7745000000000002,0.04119465984809197,1.8130000000000002,18.748749999999998,0.3654908799591763,19.105999999999998
jupyter-plotly-dash,33.088,,33.088,1.0,3.247,,3.247,28.291999999999998,,28.291999999999998
jupyter-repo2docker,4.504,,4.504,1.0,0.38299999999999995,,0.38299999999999995,3.818,,3.818
jupyter-server,10.103000000000002,0.21246646794259097,10.255,4.0,0.75175,0.024185050478894334,0.7759999999999999,8.612749999999998,0.1965271397712459,8.849
jupyter-server-proxy,13.1115,0.4075524506121878,13.644,4.0,0.9015000000000001,0.06751049301158057,0.9740000000000001,11.30075,0.22183383420930203,11.479000000000001
jupyter-sphinx,16.08225,0.23105031919475938,16.427,4.0,1.2662499999999999,0.05386634694624591,1.34,13.721250000000001,0.3164346957377887,14.13
jupyter-telemetry,4.4285000000000005,0.061819630107811996,4.505,4.0,0.37675000000000003,0.012685293322058668,0.39399999999999996,3.859,0.043764521399568795,3.917
jupyter-tensorboard,12.58725,0.24125833318941234,12.775,4.0,1.03775,0.07465643531091838,1.129,10.7625,0.15126246505109464,10.949000000000002
jupyter-wysiwyg,12.58525,0.3498774785549935,13.072000000000001,4.0,0.9225000000000001,0.06889847603539573,0.997,10.7455,0.09405849243954464,10.838
jupyter_client,2.64625,0.1707773892137559,2.7969999999999997,4.0,0.18825000000000003,0.01732772345116347,0.20600000000000002,2.3005,0.16875327157322503,2.44
jupyter_console,5.557,0.09861372453500888,5.6739999999999995,4.0,0.39425,0.0193110503770941,0.413,4.8397499999999996,0.13767443480908184,5.011
jupyter_contrib_nbextensions,14.632249999999999,0.4105227358705799,15.210999999999999,4.0,1.1945000000000001,0.08298795093265038,1.311,12.625749999999998,0.3137880123055469,13.03
jupyter_core,1.3402500000000002,0.028182441342083885,1.375,4.0,0.1315,0.008426149773176354,0.13699999999999998,1.1135000000000002,0.030259984578096907,1.1420000000000001
jupyter_dash,20.923249999999996,0.28925003601267485,21.189,4.0,2.3032500000000002,0.05590095407653304,2.345,17.881750000000004,0.2274091393648606,18.166
jupyter_innotater,15.008,,15.008,1.0,1.161,,1.161,13.017000000000001,,13.017000000000001
jupyter_nbextensions_configurator,12.38,,12.38,1.0,0.9740000000000001,,0.9740000000000001,10.636,,10.636
jupyter_plotly_dash,32.96,,32.96,1.0,3.11,,3.11,28.595,,28.595
jupyter_server_proxy,12.89925,0.2777245337860278,13.124,4.0,0.9400000000000001,0.06389574842402797,1.032,11.089500000000001,0.31293183496303717,11.314
jupytercontrib,8.135,,8.135,1.0,0.489,,0.489,6.683,,6.683
jupyterhub,10.516250000000001,0.2313415584512793,10.8,4.0,0.69825,0.0587615236925206,0.7809999999999999,9.154,0.18384957619387296,9.365
jupyterlab,15.82375,0.21993540718432128,16.02,4.0,1.20875,0.04800954766155035,1.276,13.504,0.1966689265406879,13.747
jupyterlab-git,12.2905,0.3789393091248245,12.700999999999999,4.0,0.8545,0.025331140255951175,0.885,10.493500000000001,0.27179710569957655,10.707
jupyterlab-launcher,11.633250000000002,0.1861153316271028,11.817,4.0,0.887,0.06794605703546508,0.929,9.975000000000001,0.2335537054583655,10.245999999999999
jupyterlab-pygments,1.4805000000000001,0.07683965989860535,1.588,4.0,0.12625,0.01609088769044973,0.142,1.303,0.07271405182860688,1.4
jupyterlab-server,12.383000000000001,0.5430610769824463,12.798,4.0,0.874,0.0515816504841273,0.924,10.6785,0.4723166310855463,11.019
jupyterlab-widgets,0.9047499999999999,0.05540382056621489,0.953,4.0,0.08375,0.011954775893619525,0.094,0.7822500000000001,0.0468072287864456,0.82
jupyterlab_latex,11.5715,0.2848502530570521,11.960999999999999,4.0,0.88175,0.05415025392368908,0.9520000000000001,9.98475,0.23833782047058036,10.302
jupyterlab_launcher,11.45625,0.28899985582464616,11.856,4.0,0.912,0.06098087131770635,1.003,9.800500000000001,0.2221988598830637,10.089
jupyterthemes,16.362249999999996,0.2561423757730586,16.614,4.0,1.21425,0.07977624959848635,1.276,14.097,0.29164018927438573,14.505999999999998
jupytext,3.9645,0.18639474241512274,4.093,4.0,0.32125,0.05875585077249756,0.395,3.3952500000000003,0.16339803140389011,3.525
jyquickhelper,12.73225,0.38687411820039436,13.203,4.0,0.9272499999999999,0.07243560358460928,1.011,10.775,0.2842475446976929,11.149000000000001
k3d,14.575999999999999,,14.575999999999999,1.0,1.17,,1.17,12.575999999999999,,12.575999999999999
