,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
astroml,14.03125,0.31357123061063413,14.494000000000002,4.0,1.1504999999999999,0.06523036102920171,1.217,12.604,0.40136433988750614,13.17
astroplan,8.502,,8.502,1.0,0.742,,0.742,7.314,,7.314
astropy,5.529,0.44807663035095513,6.199,4.0,0.5385,0.036972963094672295,0.5710000000000001,4.84275,0.2960679820581748,5.278
astroquery,10.27375,0.13744423111453832,10.395999999999999,4.0,0.791,0.0625033332444492,0.879,9.039000000000001,0.2326227274651665,9.236
astunparse,1.11375,0.032948191654980495,1.15,4.0,0.12175,0.020271079563424017,0.136,0.94125,0.030048571790796754,0.976
async-generator,0.86975,0.03091251095160872,0.9129999999999999,4.0,0.07950000000000002,0.01774823934929885,0.10300000000000001,0.7437499999999999,0.019972898304118657,0.765
async-timeout,0.885,0.036230742010986576,0.925,4.0,0.099,0.009451631252505213,0.11199999999999999,0.759,0.045129443456203476,0.8029999999999999
asyncio,1.008,,1.008,1.0,0.11800000000000001,,0.11800000000000001,0.85,,0.85
atari-py,3.538,0.04842175819470684,3.589,4.0,0.3625,0.04281354925721529,0.409,3.0895,0.06867556576638678,3.179
atomicwrites,0.8985,0.020728402414722274,0.9209999999999999,4.0,0.106,0.015470401847829728,0.129,0.7645,0.035519947447408565,0.7979999999999999
attrs,0.9995,0.044605679757926224,1.0390000000000001,4.0,0.09525,0.027944886234634533,0.132,0.8705,0.06314269553954757,0.9309999999999999
audioread,1.6780000000000002,,1.6780000000000002,1.0,0.20600000000000002,,0.20600000000000002,1.446,,1.446
autograd,5.27475,0.21547834384612016,5.505,4.0,0.6122500000000001,0.04591568359504188,0.652,4.629499999999999,0.20902392207591983,4.812
automat,1.218,,1.218,1.0,0.13,,0.13,1.001,,1.001
autopep8,1.10725,0.019050371824892665,1.128,4.0,0.09575000000000002,0.010436314802968841,0.111,0.9532499999999999,0.02118765363759441,0.982
awkward,4.06875,0.20338530756505835,4.363,4.0,0.35475,0.024019089630264216,0.386,3.5545,0.044470964310060444,3.594
awkward1,4.402749999999999,0.17949999999999977,4.668,4.0,0.31625,0.042983523975278375,0.373,4.00175,0.1442737559872435,4.206
awscli,5.7482500000000005,0.1804575203937659,5.89,4.0,0.46475,0.06261189982742901,0.555,5.076500000000001,0.15814866423716611,5.246
azure-cognitiveservices-search-imagesearch,4.2170000000000005,0.2334709118212945,4.501,4.0,0.261,0.02894822965226027,0.28300000000000003,3.6385,0.23525659749870273,3.891
azure-common,0.8959999999999999,,0.8959999999999999,1.0,0.11,,0.11,0.747,,0.747
azureml-sdk,23.614,,23.614,1.0,2.049,,2.049,19.614,,19.614
babel,1.8437500000000002,0.122494557702237,2.019,4.0,0.22725,0.027536339626028732,0.259,1.5692500000000003,0.10263974214049194,1.719
backcall,0.8892499999999999,0.03304920573932147,0.9159999999999999,4.0,0.0945,0.013428824718989117,0.11199999999999999,0.7622500000000001,0.024757153848265014,0.787
backports-abc,0.8879999999999999,0.010954451150103345,0.904,4.0,0.08600000000000001,0.009486832980505143,0.098,0.765,0.004082482904638657,0.77
backports.functools-lru-cache,0.9237500000000001,0.05514450713050817,0.971,4.0,0.101,0.013490737563232047,0.11900000000000001,0.7929999999999999,0.05188448708429147,0.8440000000000001
backports.lzma,1.5867499999999999,0.01087428158546574,1.6019999999999999,4.0,0.196,0.010614455552060439,0.209,1.3515000000000001,0.01759734828508735,1.371
backports.os,0.919,,0.919,1.0,0.12,,0.12,0.752,,0.752
backports.shutil-get-terminal-size,0.8645,0.03492372641438296,0.907,4.0,0.0965,0.019017535767461215,0.11199999999999999,0.73625,0.02544765870042535,0.762
backports.tempfile,0.9269999999999999,0.050642538114382366,0.963,4.0,0.0955,0.02994995826374388,0.128,0.759,0.024508501926202342,0.7879999999999999
backports.weakref,0.86675,0.028546745290254444,0.893,4.0,0.10025,0.010242883708539638,0.111,0.7245000000000001,0.026652079343520832,0.76
backtrader,1.173,,1.173,1.0,0.133,,0.133,1.001,,1.001
bagit,0.97,,0.97,1.0,0.113,,0.113,0.805,,0.805
bandit,2.247,,2.247,1.0,0.14,,0.14,1.933,,1.933
base58,0.893,0.03439961240091718,0.93,4.0,0.09275,0.010404326023342403,0.102,0.7637499999999999,0.03278592177546134,0.784
bash_kernel,1.025,0.05990548110704612,1.075,4.0,0.09674999999999999,0.01596610994158147,0.107,0.85925,0.050894498720392214,0.888
batman-package,7.075,,7.075,1.0,8.963,,8.963,11.380999999999998,,11.380999999999998
bayesian-optimization,9.258,,9.258,1.0,0.8859999999999999,,0.8859999999999999,8.226,,8.226
bcrypt,1.7095000000000002,0.08723340338807534,1.7890000000000001,4.0,0.136,0.03131559781748812,0.17600000000000002,1.49525,0.07431632839872178,1.581
beakerx,28.69975,1.3839116963640896,29.885,4.0,2.93175,0.13643160679744745,3.0469999999999997,22.612750000000002,0.3375622164875671,23.075
beautifulsoup4,1.077,0.042926293418680664,1.137,4.0,0.10850000000000001,0.011269427669584643,0.121,0.9199999999999999,0.04873055167619866,0.985
bibtexparser,3.319,,3.319,1.0,0.37799999999999995,,0.37799999999999995,2.695,,2.695
bids-validator,1.061,,1.061,1.0,0.094,,0.094,0.8170000000000001,,0.8170000000000001
bigger,3.543,,3.543,1.0,0.33899999999999997,,0.33899999999999997,3.054,,3.054
binaryornot,1.173,,1.173,1.0,0.179,,0.179,0.9440000000000001,,0.9440000000000001
bio,5.134,0.12446418494222904,5.246,4.0,0.496,0.02149418526020468,0.525,4.4415,0.0972608177359549,4.534
biopandas,6.624750000000001,0.17257727737644557,6.849,4.0,0.46375000000000005,0.10293808818896921,0.541,5.9635,0.15254398272847944,6.1739999999999995
biopython,4.14075,0.18426317230164752,4.336,4.0,0.40950000000000003,0.051176166327695914,0.48100000000000004,3.5975,0.0904009586969815,3.721
bioservices,19.026,,19.026,1.0,1.2329999999999999,,1.2329999999999999,17.364,,17.364
