,library,dependencies,size,size_full
0,pendulum,"['python-dateutil', 'pytzdata']",4.199999999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytzdata 1.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pendulum
"
1,lvm_read,['numpy'],24.999999999999996,"25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
2,astroplan,"['pytz', 'numpy', 'six', 'astropy']",78.624,"50M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/astropy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 824K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/astroplan
"
3,w3lib,['six'],0.1280000000000001,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 128K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/w3lib
"
4,sddk,"['numpy', 'pyarrow', 'pandas', 'requests', 'matplotlib', 'geopandas', 'kaleido', 'beautifulsoup4', 'plotly', 'shapely']",571.6920000000001,"221M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/kaleido 133M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/plotly 72M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyarrow 47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 13M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/fiona 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyproj 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 4.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/shapely 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/geopandas 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/click 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 228K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/soupsieve 152K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tenacity 64K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/munch 52K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sddk 32K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cligj
"
5,miceforest,"['pandas', 'scikit-learn', 'seaborn', 'matplotlib', 'numpy']",176.572,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/seaborn 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 172K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/miceforest
"
6,pyct,['param'],0.6039999999999992,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 484K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/param 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyct
"
7,scandir,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
8,configargparse,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
9,interpret-community,ERROR,241.62400000000002,"78M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/llvmlite 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 24M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numba 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 136K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cloudpickle 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/slicer
"
10,csbdeep,"['tifffile', 'numpy', 'tqdm', 'matplotlib', 'keras', 'h5py', 'six', 'scipy']",136.46399999999997,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 8.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/h5py 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/keras 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tifffile 596K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/csbdeep 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm
"
11,scikit-datasets,"['numpy', 'scikit-learn', 'scipy']",89.1,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib
"
