,library,dependencies,size,size_full
10,jgraph,['ipython'],20.33199999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 9.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jedi 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 620K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/parso 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 524K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jgraph 388K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pexpect 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ptyprocess 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/backcall
"
11,rasa,"['slackclient', 'jsonschema', 'oauth2client', 'pymongo', 'apscheduler', 'networkx', 'colorhash', 'boto3', 'rocketchat-API', 'scipy', 'tensorflow-addons', 'aio-pika', 'prompt-toolkit', 'requests', 'questionary', 'sanic-cors', 'python-engineio', 'aiohttp', 'numpy', 'mattermostwrapper', 'sanic-jwt', 'pykwalify', 'rasa-sdk', 'twilio', 'ujson', 'matplotlib', 'joblib', 'tensorflow-estimator', 'kafka-python', 'pydot', 'ruamel.yaml', 'python-dateutil', 'tqdm', 'sentry-sdk', 'setuptools', 'redis', 'attrs', 'tensorflow-probability', 'webexteamssdk', 'scikit-learn', 'async-generator', 'regex', 'sklearn-crfsuite', 'pytz', 'psycopg2-binary', 'tensorflow', 'python-socketio', 'tensorflow-hub', 'packaging', 'coloredlogs', 'PyJWT', 'tensorflow-text', 'jsonpickle', 'terminaltables', 'absl-py', 'pyTelegramBotAPI', 'sanic', 'colorclass', 'cloudpickle', 'SQLAlchemy', 'fbmessenger']",1161.1920000000005,"811M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tensorflow 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 60M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/botocore 50M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 18M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/uvloop 17M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/twilio 14M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tensorboard 12M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/networkx 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cryptography 9.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sqlalchemy 8.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/h5py 6.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/aiohttp 6.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rasa 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/future 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/regex 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pymongo 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 1.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/werkzeug 1.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httptools 1.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/boto3 1.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/yarl 1.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/oauthlib 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 1.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pycparser 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 860K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyasn1 820K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/webexteamssdk 744K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/oauth2client 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cffi 644K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markdown 608K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sanic 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/humanfriendly 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/s3transfer 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/multidict 544K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/apscheduler 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 508K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/websockets 488K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/redis 476K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httpx 460K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 452K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httpcore 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 396K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/immutables 372K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/h11 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent 332K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httplib2 304K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pamqp 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 280K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/coloredlogs 276K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonpickle 268K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wheel 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 232K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rfc3986 228K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rsa 228K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/questionary 204K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pykwalify 192K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/bidict 164K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/aiormq 156K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jmespath 152K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/colorclass 136K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cloudpickle 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wrapt 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/typeguard 112K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/terminaltables 112K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/fbmessenger 112K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cachetools 108K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gast 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/aiofiles 100K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tzlocal 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/astunparse 52K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sniffio 24K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/mattermostwrapper 24K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/contextvars 24K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/colorhash
"
12,urllib,ERROR,0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
13,tf-estimator-nightly,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
14,textacy,ERROR,200.87999999999997,"67M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/spacy 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 29M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/blis 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 5.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyphen 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/thinc 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 980K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/srsly 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 556K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/toolz 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 404K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/preshed 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 160K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wasabi 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cymem 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/murmurhash
"
15,country_converter,['pandas'],74.8,"47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz
"
16,environment_kernels,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
17,efficientnet_pytorch,['torch'],1600.0,"1.6G /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/torch 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
18,pyrdfa3,"['html5lib', 'rdflib']",3.2479999999999976,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rdflib 1.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/html5lib 264K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/isodate 84K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/webencodings
"
19,lidar,"['matplotlib', 'scipy', 'richdem', 'PySimpleGUI', 'whitebox', 'Click', 'numpy', 'scikit-image', 'pyshp']",144.292,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 12M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/networkx 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 5.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/imageio 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/lidar 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tifffile 916K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/whitebox 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/click 84K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/richdem
"
